rank,feature,abs_coef
361,num__cdt_wow_delta_W0_W1,0.006678522034677583
362,num__contacts_total_tickets_per_order_W3,0.005994143753556264
363,num__avg_sat_score_W2,0.005900169023043149
364,num__at_vendor_time_in_minutes_trend_slope_8w,0.005884957569790456
365,num__at_vendor_time_in_minutes_wow_delta_W5_W6,0.0055996727109434655
366,num__at_vendor_time_in_minutes_W4,0.005274810089565192
367,num__compliance_total_violations_per_order_wow_delta_W3_W4,0.005187720118117765
368,num__perc_reas_W4,0.004738169146532058
369,num__avg_sat_score_wow_delta_W1_W2,0.0041020488773539495
370,num__compliance_total_violations_per_order_wow_delta_W5_W6,0.004082874623193752
371,num__cpo_local_currency_wow_delta_W5_W6,0.0037016499581485696
372,num__total_earnings_per_order_wow_delta_W5_W6,0.0037016499581117267
373,num__avg_sat_score_W4,0.003541723455262822
374,num__avg_pd_distance_google_wow_delta_W4_W5,0.0033859669152348395
375,num__perc_stacking_W2,0.0033037630932613348
376,num__contacts_total_tickets_per_order_wow_delta_W1_W2,0.003154240868066456
377,num__contacts_total_tickets_per_order_wow_delta_W0_W1,0.0028726046322021465
378,num__at_customer_time_in_minutes_W6,0.0023889825478846534
379,num__avg_pd_distance_google_W6,0.002018050475257598
380,num__compliance_distinct_violation_types_wow_delta_W0_W1,0.002010812262954239
381,num__contacts_total_tickets_per_order_wow_delta_W2_W3,0.001984073544643484
382,num__at_customer_time_in_minutes_W2,0.00147291063232382
383,num__compliance_distinct_violation_types_wow_delta_W1_W2,0.0012378287068038358
384,num__compliance_distinct_violation_types_W0,0.0009257640144463088
385,num__total_bw_orders_wow_delta_W0_W1,0.0009227970084212989
386,num__avg_sp_distance_google_wow_delta_W0_W1,0.0009123974605453578
387,num__perc_reas_wow_delta_W0_W1,0.0009036184464163458
388,num__perc_stacking_wow_delta_W0_W1,0.0007764870727781797
389,num__compliance_total_violations_per_order_trend_slope_8w,0.0007675967160349178
390,num__total_bw_orders_W4,0.0006533534383127071
391,num__avg_pd_distance_google_wow_delta_W3_W4,0.0005988593402630636
392,num__perc_stacking_wow_delta_W1_W2,0.00018837155627106545
393,num__avg_pd_distance_google_wow_delta_W2_W3,0.00014343434787115393
394,num__perc_reas_wow_delta_W1_W2,8.847059524334519e-05
395,num__contacts_total_tickets_W0,6.879603730662513e-05
